"ICMKOP","İçmeler Köprüsü","40.849714","29.29822"
"AYDIST","Aydıntepe İstasyon","40.85279","29.294819"
"ESESAP","Esenyalı Sapağı","40.855119","29.292276"
"GUZKOP","Güzelyalı Köprüsü","40.859866","29.281944"
"TERKOP","Tersane Köprüsü","40.866199","29.273533"
"DIYSOK","Diyar Sokak","40.868175","29.267492"
"YEMSIT","Yemek Sitesi (Kaynarca)","40.870531","29.268758"
"KAYALT","Kaynarca Alt Geçit","40.872203","29.265819"
"PALMIY2","Palmiye","40.876977","29.225462"
"PENLIS","Pendik Lisesi","40.87851","29.222742"
"VETARA2","Veteriner Araştırma","40.880133","29.216155"
"YUNUS2","Yunus","40.883422","29.208307"
"BAHCEL","Bahçeler","40.817999","29.301374"
"KALEKA","Kalekapı","40.81834","29.305301"
"TUZLIS","Tuzla Lisesi","40.820419","29.307811"
"BITPAR","Şh. O. E. Bitlis Parkı","40.822002","29.311309"
"GALSIT","Galatasaraylılar Sitesi","40.823479","29.316823"
"VATCAD","Vatan Caddesi","40.825692","29.320235"
"VALSIT","Valiler Sitesi","40.82615","29.31294"
"DORTYO","Dörtyol","40.826146","29.31074"
"CAKCAD","F. Çakmak Caddesi","40.828671","29.310697"
"NALCAM","Nalbant Camii","40.828582","29.308519"
"AYISOK","Ayışığı Sokak","40.830031","29.30779"
"HAVEVL","Hava Evleri","40.885523","29.19923"
"KULMER2","Kültür Merkezi","40.887015","29.195217"
"MALPER","Maltepe Peronlar","40.917826","29.130807"
"ISTYOL2","İstasyon Yolu","40.824332","29.320782"
"SIFSUL","Şifalı Sular","40.844519","29.295615"
